modelo,tipo_ruido,parametro,nivel,imagen,detecciones_base,detecciones,confianza_promedio,confianza_maxima,iou_promedio,retencion_pct
YOLO26-Nano,Brillo,delta,-70,bus.jpg,5,5,0.7425,0.9142,0.9252,100.0
YOLO26-Nano,Brillo,delta,-50,bus.jpg,5,5,0.7799,0.92,0.94,100.0
YOLO26-Nano,Brillo,delta,-30,bus.jpg,5,5,0.8055,0.9247,0.9577,100.0
YOLO26-Nano,Brillo,delta,0,bus.jpg,5,5,0.8203,0.9242,1.0,100.0
YOLO26-Nano,Brillo,delta,30,bus.jpg,5,5,0.8135,0.9146,0.9479,100.0
YOLO26-Nano,Brillo,delta,50,bus.jpg,5,5,0.8063,0.9088,0.9385,100.0
YOLO26-Nano,Brillo,delta,70,bus.jpg,5,5,0.7953,0.9016,0.9366,100.0
YOLO26-Nano,Brillo,delta,100,bus.jpg,5,5,0.7725,0.8992,0.9426,100.0
YOLO26-Nano,Brillo,delta,-100,zidane.jpg,3,2,0.8821,0.8887,0.951,66.67
YOLO26-Nano,Brillo,delta,-70,zidane.jpg,3,2,0.921,0.9343,0.9841,66.67
YOLO26-Nano,Brillo,delta,-50,zidane.jpg,3,3,0.719,0.9409,0.9725,100.0
YOLO26-Nano,Brillo,delta,-30,zidane.jpg,3,2,0.9387,0.9479,0.988,66.67
YOLO26-Nano,Brillo,delta,0,zidane.jpg,3,3,0.7575,0.9426,1.0,100.0
YOLO26-Nano,Brillo,delta,30,zidane.jpg,3,3,0.7121,0.9368,0.9879,100.0
YOLO26-Nano,Brillo,delta,50,zidane.jpg,3,3,0.6932,0.9372,0.9863,100.0
YOLO26-Nano,Brillo,delta,70,zidane.jpg,3,3,0.6819,0.9279,0.9753,100.0
YOLO26-Nano,Brillo,delta,100,zidane.jpg,3,4,0.5595,0.9335,0.9621,133.33
YOLO26-XL,Gaussiano,sigma,0,bus.jpg,5,5,0.8233,0.9441,1.0,100.0
YOLO26-XL,Gaussiano,sigma,5,bus.jpg,5,5,0.8422,0.9413,0.9931,100.0
YOLO26-XL,Gaussiano,sigma,10,bus.jpg,5,5,0.7927,0.9441,0.9873,100.0
YOLO26-XL,Gaussiano,sigma,20,bus.jpg,5,5,0.8129,0.9393,0.9806,100.0
YOLO26-XL,Gaussiano,sigma,30,bus.jpg,5,6,0.6802,0.9437,0.9412,120.0
YOLO26-XL,Gaussiano,sigma,50,bus.jpg,5,5,0.7655,0.938,0.9408,100.0
YOLO26-XL,Gaussiano,sigma,70,bus.jpg,5,4,0.7768,0.9288,0.8985,80.0
